c CNF file written by RustSAT
p cnf 241 2668
1 0
-50 -46 0
-50 -47 0
-50 -48 0
-50 -49 0
-51 -46 0
-51 -47 0
-51 -48 0
-51 -49 0
-51 -50 0
46 47 48 49 50 51 0
-53 -52 0
-54 -52 0
-54 -53 0
-55 -52 0
-55 -53 0
-55 -54 0
-56 -52 0
-56 -53 0
-56 -54 0
-56 -55 0
-57 -52 0
-57 -53 0
-57 -54 0
-57 -55 0
-57 -56 0
-58 -52 0
-58 -53 0
-58 -54 0
-58 -55 0
-58 -56 0
-58 -57 0
-59 -52 0
-59 -53 0
-59 -54 0
-59 -55 0
-59 -56 0
-59 -57 0
-59 -58 0
52 53 54 55 56 57 58 59 0
-61 -60 0
-62 -60 0
-62 -61 0
-63 -60 0
-63 -61 0
-63 -62 0
-64 -60 0
-64 -61 0
-64 -62 0
-64 -63 0
-65 -60 0
-65 -61 0
-65 -62 0
-65 -63 0
-65 -64 0
-66 -60 0
-66 -61 0
-66 -62 0
-66 -63 0
-66 -64 0
-66 -65 0
-67 -60 0
-67 -61 0
-67 -62 0
-67 -63 0
-67 -64 0
-67 -65 0
-67 -66 0
60 61 62 63 64 65 66 67 0
-69 -68 0
-70 -68 0
-70 -69 0
-71 -68 0
-71 -69 0
-71 -70 0
-72 -68 0
-72 -69 0
-72 -70 0
-72 -71 0
-73 -68 0
-73 -69 0
-73 -70 0
-73 -71 0
-73 -72 0
68 69 70 71 72 73 0
-75 -74 0
-76 -74 0
-76 -75 0
-77 -74 0
-77 -75 0
-77 -76 0
-78 -74 0
-78 -75 0
-78 -76 0
-78 -77 0
-79 -74 0
-79 -75 0
-79 -76 0
-79 -77 0
-79 -78 0
-80 -74 0
-80 -75 0
-80 -76 0
-80 -77 0
-80 -78 0
-80 -79 0
-81 -74 0
-81 -75 0
-81 -76 0
-81 -77 0
-81 -78 0
-81 -79 0
-81 -80 0
74 75 76 77 78 79 80 81 0
-83 -82 0
-84 -82 0
-84 -83 0
-85 -82 0
-85 -83 0
-85 -84 0
-86 -82 0
-86 -83 0
-86 -84 0
-86 -85 0
-87 -82 0
-87 -83 0
-87 -84 0
-87 -85 0
-87 -86 0
-88 -82 0
-88 -83 0
-88 -84 0
-88 -85 0
-88 -86 0
-88 -87 0
-89 -82 0
-89 -83 0
-89 -84 0
-89 -85 0
-89 -86 0
-89 -87 0
-89 -88 0
82 83 84 85 86 87 88 89 0
-91 -90 0
-92 -90 0
-92 -91 0
-93 -90 0
-93 -91 0
-93 -92 0
-94 -90 0
-94 -91 0
-94 -92 0
-94 -93 0
-95 -90 0
-95 -91 0
-95 -92 0
-95 -93 0
-95 -94 0
90 91 92 93 94 95 0
-97 -96 0
-98 -96 0
-98 -97 0
-99 -96 0
-99 -97 0
-99 -98 0
-100 -96 0
-100 -97 0
-100 -98 0
-100 -99 0
-101 -96 0
-101 -97 0
-101 -98 0
-101 -99 0
-101 -100 0
-102 -96 0
-102 -97 0
-102 -98 0
-102 -99 0
-102 -100 0
-102 -101 0
-103 -96 0
-103 -97 0
-103 -98 0
-103 -99 0
-103 -100 0
-103 -101 0
-103 -102 0
96 97 98 99 100 101 102 103 0
-105 -104 0
-106 -104 0
-106 -105 0
-107 -104 0
-107 -105 0
-107 -106 0
-108 -104 0
-108 -105 0
-108 -106 0
-108 -107 0
-109 -104 0
-109 -105 0
-109 -106 0
-109 -107 0
-109 -108 0
-110 -104 0
-110 -105 0
-110 -106 0
-110 -107 0
-110 -108 0
-110 -109 0
-111 -104 0
-111 -105 0
-111 -106 0
-111 -107 0
-111 -108 0
-111 -109 0
-111 -110 0
104 105 106 107 108 109 110 111 0
-113 -112 0
-114 -112 0
-114 -113 0
-115 -112 0
-115 -113 0
-115 -114 0
-116 -112 0
-116 -113 0
-116 -114 0
-116 -115 0
112 113 114 115 116 0
-118 -117 0
-119 -117 0
-119 -118 0
-120 -117 0
-120 -118 0
-120 -119 0
-121 -117 0
-121 -118 0
-121 -119 0
-121 -120 0
117 118 119 120 121 0
-2 127 -122 0
-2 128 -122 0
-2 -127 -128 122 0
-3 -127 122 0
-3 -128 122 0
-3 127 128 -122 0
-4 -127 -128 -122 0
-4 -127 128 122 0
-4 127 -128 122 0
-4 127 128 -122 0
-5 127 122 0
-5 128 122 0
-5 -127 -128 -122 0
-6 -127 -122 0
-6 -128 -122 0
-6 127 128 122 0
-7 -127 -128 122 0
-7 -127 128 -122 0
-7 127 -128 -122 0
-7 127 128 122 0
-8 1 127 0
-8 -1 -127 0
-9 1 127 0
-9 -1 -127 0
-10 1 127 0
-10 -1 -127 0
-11 -122 127 0
-11 122 -127 0
-12 -123 127 0
-12 123 -127 0
-13 -124 127 0
-13 124 -127 0
-14 -125 127 0
-14 125 -127 0
-15 -126 127 0
-15 126 -127 0
-16 1 128 0
-16 -1 -128 0
-17 1 128 0
-17 -1 -128 0
-18 1 128 0
-18 -1 -128 0
-19 -122 128 0
-19 122 -128 0
-20 -123 128 0
-20 123 -128 0
-21 -124 128 0
-21 124 -128 0
-22 -125 128 0
-22 125 -128 0
-23 -126 128 0
-23 126 -128 0
-112 1 122 0
-112 -1 -122 0
-117 1 122 0
-117 -1 -122 0
-24 129 -123 0
-24 130 -123 0
-24 -129 -130 123 0
-25 -129 123 0
-25 -130 123 0
-25 129 130 -123 0
-26 -129 -130 -123 0
-26 -129 130 123 0
-26 129 -130 123 0
-26 129 130 -123 0
-27 129 123 0
-27 130 123 0
-27 -129 -130 -123 0
-28 -129 -123 0
-28 -130 -123 0
-28 129 130 123 0
-29 -129 -130 123 0
-29 -129 130 -123 0
-29 129 -130 -123 0
-29 129 130 123 0
-30 1 129 0
-30 -1 -129 0
-31 1 129 0
-31 -1 -129 0
-32 1 129 0
-32 -1 -129 0
-33 -122 129 0
-33 122 -129 0
-34 -123 129 0
-34 123 -129 0
-35 -124 129 0
-35 124 -129 0
-36 -125 129 0
-36 125 -129 0
-37 -126 129 0
-37 126 -129 0
-38 1 130 0
-38 -1 -130 0
-39 1 130 0
-39 -1 -130 0
-40 1 130 0
-40 -1 -130 0
-41 -122 130 0
-41 122 -130 0
-42 -123 130 0
-42 123 -130 0
-43 -124 130 0
-43 124 -130 0
-44 -125 130 0
-44 125 -130 0
-45 -126 130 0
-45 126 -130 0
-113 1 123 0
-113 -1 -123 0
-118 1 123 0
-118 -1 -123 0
-46 131 -124 0
-46 132 -124 0
-46 -131 -132 124 0
-47 -131 124 0
-47 -132 124 0
-47 131 132 -124 0
-48 -131 -132 -124 0
-48 -131 132 124 0
-48 131 -132 124 0
-48 131 132 -124 0
-49 131 124 0
-49 132 124 0
-49 -131 -132 -124 0
-50 -131 -124 0
-50 -132 -124 0
-50 131 132 124 0
-51 -131 -132 124 0
-51 -131 132 -124 0
-51 131 -132 -124 0
-51 131 132 124 0
-52 1 131 0
-52 -1 -131 0
-53 1 131 0
-53 -1 -131 0
-54 1 131 0
-54 -1 -131 0
-55 -122 131 0
-55 122 -131 0
-56 -123 131 0
-56 123 -131 0
-57 -124 131 0
-57 124 -131 0
-58 -125 131 0
-58 125 -131 0
-59 -126 131 0
-59 126 -131 0
-60 1 132 0
-60 -1 -132 0
-61 1 132 0
-61 -1 -132 0
-62 1 132 0
-62 -1 -132 0
-63 -122 132 0
-63 122 -132 0
-64 -123 132 0
-64 123 -132 0
-65 -124 132 0
-65 124 -132 0
-66 -125 132 0
-66 125 -132 0
-67 -126 132 0
-67 126 -132 0
-114 1 124 0
-114 -1 -124 0
-119 1 124 0
-119 -1 -124 0
-68 133 -125 0
-68 134 -125 0
-68 -133 -134 125 0
-69 -133 125 0
-69 -134 125 0
-69 133 134 -125 0
-70 -133 -134 -125 0
-70 -133 134 125 0
-70 133 -134 125 0
-70 133 134 -125 0
-71 133 125 0
-71 134 125 0
-71 -133 -134 -125 0
-72 -133 -125 0
-72 -134 -125 0
-72 133 134 125 0
-73 -133 -134 125 0
-73 -133 134 -125 0
-73 133 -134 -125 0
-73 133 134 125 0
-74 1 133 0
-74 -1 -133 0
-75 1 133 0
-75 -1 -133 0
-76 1 133 0
-76 -1 -133 0
-77 -122 133 0
-77 122 -133 0
-78 -123 133 0
-78 123 -133 0
-79 -124 133 0
-79 124 -133 0
-80 -125 133 0
-80 125 -133 0
-81 -126 133 0
-81 126 -133 0
-82 1 134 0
-82 -1 -134 0
-83 1 134 0
-83 -1 -134 0
-84 1 134 0
-84 -1 -134 0
-85 -122 134 0
-85 122 -134 0
-86 -123 134 0
-86 123 -134 0
-87 -124 134 0
-87 124 -134 0
-88 -125 134 0
-88 125 -134 0
-89 -126 134 0
-89 126 -134 0
-115 1 125 0
-115 -1 -125 0
-120 1 125 0
-120 -1 -125 0
-90 135 -126 0
-90 136 -126 0
-90 -135 -136 126 0
-91 -135 126 0
-91 -136 126 0
-91 135 136 -126 0
-92 -135 -136 -126 0
-92 -135 136 126 0
-92 135 -136 126 0
-92 135 136 -126 0
-93 135 126 0
-93 136 126 0
-93 -135 -136 -126 0
-94 -135 -126 0
-94 -136 -126 0
-94 135 136 126 0
-95 -135 -136 126 0
-95 -135 136 -126 0
-95 135 -136 -126 0
-95 135 136 126 0
-96 1 135 0
-96 -1 -135 0
-97 1 135 0
-97 -1 -135 0
-98 1 135 0
-98 -1 -135 0
-99 -122 135 0
-99 122 -135 0
-100 -123 135 0
-100 123 -135 0
-101 -124 135 0
-101 124 -135 0
-102 -125 135 0
-102 125 -135 0
-103 -126 135 0
-103 126 -135 0
-104 1 136 0
-104 -1 -136 0
-105 1 136 0
-105 -1 -136 0
-106 1 136 0
-106 -1 -136 0
-107 -122 136 0
-107 122 -136 0
-108 -123 136 0
-108 123 -136 0
-109 -124 136 0
-109 124 -136 0
-110 -125 136 0
-110 125 -136 0
-111 -126 136 0
-111 126 -136 0
-116 1 126 0
-116 -1 -126 0
-121 1 126 0
-121 -1 -126 0
-2 142 -137 0
-2 143 -137 0
-2 -142 -143 137 0
-3 -142 137 0
-3 -143 137 0
-3 142 143 -137 0
-4 -142 -143 -137 0
-4 -142 143 137 0
-4 142 -143 137 0
-4 142 143 -137 0
-5 142 137 0
-5 143 137 0
-5 -142 -143 -137 0
-6 -142 -137 0
-6 -143 -137 0
-6 142 143 137 0
-7 -142 -143 137 0
-7 -142 143 -137 0
-7 142 -143 -137 0
-7 142 143 137 0
-8 -1 142 0
-8 1 -142 0
-9 1 142 0
-9 -1 -142 0
-10 1 142 0
-10 -1 -142 0
-11 -137 142 0
-11 137 -142 0
-12 -138 142 0
-12 138 -142 0
-13 -139 142 0
-13 139 -142 0
-14 -140 142 0
-14 140 -142 0
-15 -141 142 0
-15 141 -142 0
-16 -1 143 0
-16 1 -143 0
-17 1 143 0
-17 -1 -143 0
-18 1 143 0
-18 -1 -143 0
-19 -137 143 0
-19 137 -143 0
-20 -138 143 0
-20 138 -143 0
-21 -139 143 0
-21 139 -143 0
-22 -140 143 0
-22 140 -143 0
-23 -141 143 0
-23 141 -143 0
-112 -1 137 0
-112 1 -137 0
-117 1 137 0
-117 -1 -137 0
-24 144 -138 0
-24 145 -138 0
-24 -144 -145 138 0
-25 -144 138 0
-25 -145 138 0
-25 144 145 -138 0
-26 -144 -145 -138 0
-26 -144 145 138 0
-26 144 -145 138 0
-26 144 145 -138 0
-27 144 138 0
-27 145 138 0
-27 -144 -145 -138 0
-28 -144 -138 0
-28 -145 -138 0
-28 144 145 138 0
-29 -144 -145 138 0
-29 -144 145 -138 0
-29 144 -145 -138 0
-29 144 145 138 0
-30 -1 144 0
-30 1 -144 0
-31 1 144 0
-31 -1 -144 0
-32 1 144 0
-32 -1 -144 0
-33 -137 144 0
-33 137 -144 0
-34 -138 144 0
-34 138 -144 0
-35 -139 144 0
-35 139 -144 0
-36 -140 144 0
-36 140 -144 0
-37 -141 144 0
-37 141 -144 0
-38 -1 145 0
-38 1 -145 0
-39 1 145 0
-39 -1 -145 0
-40 1 145 0
-40 -1 -145 0
-41 -137 145 0
-41 137 -145 0
-42 -138 145 0
-42 138 -145 0
-43 -139 145 0
-43 139 -145 0
-44 -140 145 0
-44 140 -145 0
-45 -141 145 0
-45 141 -145 0
-113 -1 138 0
-113 1 -138 0
-118 1 138 0
-118 -1 -138 0
-46 146 -139 0
-46 147 -139 0
-46 -146 -147 139 0
-47 -146 139 0
-47 -147 139 0
-47 146 147 -139 0
-48 -146 -147 -139 0
-48 -146 147 139 0
-48 146 -147 139 0
-48 146 147 -139 0
-49 146 139 0
-49 147 139 0
-49 -146 -147 -139 0
-50 -146 -139 0
-50 -147 -139 0
-50 146 147 139 0
-51 -146 -147 139 0
-51 -146 147 -139 0
-51 146 -147 -139 0
-51 146 147 139 0
-52 -1 146 0
-52 1 -146 0
-53 1 146 0
-53 -1 -146 0
-54 1 146 0
-54 -1 -146 0
-55 -137 146 0
-55 137 -146 0
-56 -138 146 0
-56 138 -146 0
-57 -139 146 0
-57 139 -146 0
-58 -140 146 0
-58 140 -146 0
-59 -141 146 0
-59 141 -146 0
-60 -1 147 0
-60 1 -147 0
-61 1 147 0
-61 -1 -147 0
-62 1 147 0
-62 -1 -147 0
-63 -137 147 0
-63 137 -147 0
-64 -138 147 0
-64 138 -147 0
-65 -139 147 0
-65 139 -147 0
-66 -140 147 0
-66 140 -147 0
-67 -141 147 0
-67 141 -147 0
-114 -1 139 0
-114 1 -139 0
-119 1 139 0
-119 -1 -139 0
-68 148 -140 0
-68 149 -140 0
-68 -148 -149 140 0
-69 -148 140 0
-69 -149 140 0
-69 148 149 -140 0
-70 -148 -149 -140 0
-70 -148 149 140 0
-70 148 -149 140 0
-70 148 149 -140 0
-71 148 140 0
-71 149 140 0
-71 -148 -149 -140 0
-72 -148 -140 0
-72 -149 -140 0
-72 148 149 140 0
-73 -148 -149 140 0
-73 -148 149 -140 0
-73 148 -149 -140 0
-73 148 149 140 0
-74 -1 148 0
-74 1 -148 0
-75 1 148 0
-75 -1 -148 0
-76 1 148 0
-76 -1 -148 0
-77 -137 148 0
-77 137 -148 0
-78 -138 148 0
-78 138 -148 0
-79 -139 148 0
-79 139 -148 0
-80 -140 148 0
-80 140 -148 0
-81 -141 148 0
-81 141 -148 0
-82 -1 149 0
-82 1 -149 0
-83 1 149 0
-83 -1 -149 0
-84 1 149 0
-84 -1 -149 0
-85 -137 149 0
-85 137 -149 0
-86 -138 149 0
-86 138 -149 0
-87 -139 149 0
-87 139 -149 0
-88 -140 149 0
-88 140 -149 0
-89 -141 149 0
-89 141 -149 0
-115 -1 140 0
-115 1 -140 0
-120 1 140 0
-120 -1 -140 0
-90 150 -141 0
-90 151 -141 0
-90 -150 -151 141 0
-91 -150 141 0
-91 -151 141 0
-91 150 151 -141 0
-92 -150 -151 -141 0
-92 -150 151 141 0
-92 150 -151 141 0
-92 150 151 -141 0
-93 150 141 0
-93 151 141 0
-93 -150 -151 -141 0
-94 -150 -141 0
-94 -151 -141 0
-94 150 151 141 0
-95 -150 -151 141 0
-95 -150 151 -141 0
-95 150 -151 -141 0
-95 150 151 141 0
-96 -1 150 0
-96 1 -150 0
-97 1 150 0
-97 -1 -150 0
-98 1 150 0
-98 -1 -150 0
-99 -137 150 0
-99 137 -150 0
-100 -138 150 0
-100 138 -150 0
-101 -139 150 0
-101 139 -150 0
-102 -140 150 0
-102 140 -150 0
-103 -141 150 0
-103 141 -150 0
-104 -1 151 0
-104 1 -151 0
-105 1 151 0
-105 -1 -151 0
-106 1 151 0
-106 -1 -151 0
-107 -137 151 0
-107 137 -151 0
-108 -138 151 0
-108 138 -151 0
-109 -139 151 0
-109 139 -151 0
-110 -140 151 0
-110 140 -151 0
-111 -141 151 0
-111 141 -151 0
-116 -1 141 0
-116 1 -141 0
-121 1 141 0
-121 -1 -141 0
-2 157 -152 0
-2 158 -152 0
-2 -157 -158 152 0
-3 -157 152 0
-3 -158 152 0
-3 157 158 -152 0
-4 -157 -158 -152 0
-4 -157 158 152 0
-4 157 -158 152 0
-4 157 158 -152 0
-5 157 152 0
-5 158 152 0
-5 -157 -158 -152 0
-6 -157 -152 0
-6 -158 -152 0
-6 157 158 152 0
-7 -157 -158 152 0
-7 -157 158 -152 0
-7 157 -158 -152 0
-7 157 158 152 0
-8 1 157 0
-8 -1 -157 0
-9 -1 157 0
-9 1 -157 0
-10 1 157 0
-10 -1 -157 0
-11 -152 157 0
-11 152 -157 0
-12 -153 157 0
-12 153 -157 0
-13 -154 157 0
-13 154 -157 0
-14 -155 157 0
-14 155 -157 0
-15 -156 157 0
-15 156 -157 0
-16 1 158 0
-16 -1 -158 0
-17 -1 158 0
-17 1 -158 0
-18 1 158 0
-18 -1 -158 0
-19 -152 158 0
-19 152 -158 0
-20 -153 158 0
-20 153 -158 0
-21 -154 158 0
-21 154 -158 0
-22 -155 158 0
-22 155 -158 0
-23 -156 158 0
-23 156 -158 0
-112 -1 152 0
-112 1 -152 0
-117 1 152 0
-117 -1 -152 0
-24 159 -153 0
-24 160 -153 0
-24 -159 -160 153 0
-25 -159 153 0
-25 -160 153 0
-25 159 160 -153 0
-26 -159 -160 -153 0
-26 -159 160 153 0
-26 159 -160 153 0
-26 159 160 -153 0
-27 159 153 0
-27 160 153 0
-27 -159 -160 -153 0
-28 -159 -153 0
-28 -160 -153 0
-28 159 160 153 0
-29 -159 -160 153 0
-29 -159 160 -153 0
-29 159 -160 -153 0
-29 159 160 153 0
-30 1 159 0
-30 -1 -159 0
-31 -1 159 0
-31 1 -159 0
-32 1 159 0
-32 -1 -159 0
-33 -152 159 0
-33 152 -159 0
-34 -153 159 0
-34 153 -159 0
-35 -154 159 0
-35 154 -159 0
-36 -155 159 0
-36 155 -159 0
-37 -156 159 0
-37 156 -159 0
-38 1 160 0
-38 -1 -160 0
-39 -1 160 0
-39 1 -160 0
-40 1 160 0
-40 -1 -160 0
-41 -152 160 0
-41 152 -160 0
-42 -153 160 0
-42 153 -160 0
-43 -154 160 0
-43 154 -160 0
-44 -155 160 0
-44 155 -160 0
-45 -156 160 0
-45 156 -160 0
-113 -1 153 0
-113 1 -153 0
-118 1 153 0
-118 -1 -153 0
-46 161 -154 0
-46 162 -154 0
-46 -161 -162 154 0
-47 -161 154 0
-47 -162 154 0
-47 161 162 -154 0
-48 -161 -162 -154 0
-48 -161 162 154 0
-48 161 -162 154 0
-48 161 162 -154 0
-49 161 154 0
-49 162 154 0
-49 -161 -162 -154 0
-50 -161 -154 0
-50 -162 -154 0
-50 161 162 154 0
-51 -161 -162 154 0
-51 -161 162 -154 0
-51 161 -162 -154 0
-51 161 162 154 0
-52 1 161 0
-52 -1 -161 0
-53 -1 161 0
-53 1 -161 0
-54 1 161 0
-54 -1 -161 0
-55 -152 161 0
-55 152 -161 0
-56 -153 161 0
-56 153 -161 0
-57 -154 161 0
-57 154 -161 0
-58 -155 161 0
-58 155 -161 0
-59 -156 161 0
-59 156 -161 0
-60 1 162 0
-60 -1 -162 0
-61 -1 162 0
-61 1 -162 0
-62 1 162 0
-62 -1 -162 0
-63 -152 162 0
-63 152 -162 0
-64 -153 162 0
-64 153 -162 0
-65 -154 162 0
-65 154 -162 0
-66 -155 162 0
-66 155 -162 0
-67 -156 162 0
-67 156 -162 0
-114 -1 154 0
-114 1 -154 0
-119 1 154 0
-119 -1 -154 0
-68 163 -155 0
-68 164 -155 0
-68 -163 -164 155 0
-69 -163 155 0
-69 -164 155 0
-69 163 164 -155 0
-70 -163 -164 -155 0
-70 -163 164 155 0
-70 163 -164 155 0
-70 163 164 -155 0
-71 163 155 0
-71 164 155 0
-71 -163 -164 -155 0
-72 -163 -155 0
-72 -164 -155 0
-72 163 164 155 0
-73 -163 -164 155 0
-73 -163 164 -155 0
-73 163 -164 -155 0
-73 163 164 155 0
-74 1 163 0
-74 -1 -163 0
-75 -1 163 0
-75 1 -163 0
-76 1 163 0
-76 -1 -163 0
-77 -152 163 0
-77 152 -163 0
-78 -153 163 0
-78 153 -163 0
-79 -154 163 0
-79 154 -163 0
-80 -155 163 0
-80 155 -163 0
-81 -156 163 0
-81 156 -163 0
-82 1 164 0
-82 -1 -164 0
-83 -1 164 0
-83 1 -164 0
-84 1 164 0
-84 -1 -164 0
-85 -152 164 0
-85 152 -164 0
-86 -153 164 0
-86 153 -164 0
-87 -154 164 0
-87 154 -164 0
-88 -155 164 0
-88 155 -164 0
-89 -156 164 0
-89 156 -164 0
-115 -1 155 0
-115 1 -155 0
-120 1 155 0
-120 -1 -155 0
-90 165 -156 0
-90 166 -156 0
-90 -165 -166 156 0
-91 -165 156 0
-91 -166 156 0
-91 165 166 -156 0
-92 -165 -166 -156 0
-92 -165 166 156 0
-92 165 -166 156 0
-92 165 166 -156 0
-93 165 156 0
-93 166 156 0
-93 -165 -166 -156 0
-94 -165 -156 0
-94 -166 -156 0
-94 165 166 156 0
-95 -165 -166 156 0
-95 -165 166 -156 0
-95 165 -166 -156 0
-95 165 166 156 0
-96 1 165 0
-96 -1 -165 0
-97 -1 165 0
-97 1 -165 0
-98 1 165 0
-98 -1 -165 0
-99 -152 165 0
-99 152 -165 0
-100 -153 165 0
-100 153 -165 0
-101 -154 165 0
-101 154 -165 0
-102 -155 165 0
-102 155 -165 0
-103 -156 165 0
-103 156 -165 0
-104 1 166 0
-104 -1 -166 0
-105 -1 166 0
-105 1 -166 0
-106 1 166 0
-106 -1 -166 0
-107 -152 166 0
-107 152 -166 0
-108 -153 166 0
-108 153 -166 0
-109 -154 166 0
-109 154 -166 0
-110 -155 166 0
-110 155 -166 0
-111 -156 166 0
-111 156 -166 0
-116 -1 156 0
-116 1 -156 0
-121 1 156 0
-121 -1 -156 0
-2 172 -167 0
-2 173 -167 0
-2 -172 -173 167 0
-3 -172 167 0
-3 -173 167 0
-3 172 173 -167 0
-4 -172 -173 -167 0
-4 -172 173 167 0
-4 172 -173 167 0
-4 172 173 -167 0
-5 172 167 0
-5 173 167 0
-5 -172 -173 -167 0
-6 -172 -167 0
-6 -173 -167 0
-6 172 173 167 0
-7 -172 -173 167 0
-7 -172 173 -167 0
-7 172 -173 -167 0
-7 172 173 167 0
-8 -1 172 0
-8 1 -172 0
-9 -1 172 0
-9 1 -172 0
-10 1 172 0
-10 -1 -172 0
-11 -167 172 0
-11 167 -172 0
-12 -168 172 0
-12 168 -172 0
-13 -169 172 0
-13 169 -172 0
-14 -170 172 0
-14 170 -172 0
-15 -171 172 0
-15 171 -172 0
-16 -1 173 0
-16 1 -173 0
-17 -1 173 0
-17 1 -173 0
-18 1 173 0
-18 -1 -173 0
-19 -167 173 0
-19 167 -173 0
-20 -168 173 0
-20 168 -173 0
-21 -169 173 0
-21 169 -173 0
-22 -170 173 0
-22 170 -173 0
-23 -171 173 0
-23 171 -173 0
-112 1 167 0
-112 -1 -167 0
-117 -1 167 0
-117 1 -167 0
-24 174 -168 0
-24 175 -168 0
-24 -174 -175 168 0
-25 -174 168 0
-25 -175 168 0
-25 174 175 -168 0
-26 -174 -175 -168 0
-26 -174 175 168 0
-26 174 -175 168 0
-26 174 175 -168 0
-27 174 168 0
-27 175 168 0
-27 -174 -175 -168 0
-28 -174 -168 0
-28 -175 -168 0
-28 174 175 168 0
-29 -174 -175 168 0
-29 -174 175 -168 0
-29 174 -175 -168 0
-29 174 175 168 0
-30 -1 174 0
-30 1 -174 0
-31 -1 174 0
-31 1 -174 0
-32 1 174 0
-32 -1 -174 0
-33 -167 174 0
-33 167 -174 0
-34 -168 174 0
-34 168 -174 0
-35 -169 174 0
-35 169 -174 0
-36 -170 174 0
-36 170 -174 0
-37 -171 174 0
-37 171 -174 0
-38 -1 175 0
-38 1 -175 0
-39 -1 175 0
-39 1 -175 0
-40 1 175 0
-40 -1 -175 0
-41 -167 175 0
-41 167 -175 0
-42 -168 175 0
-42 168 -175 0
-43 -169 175 0
-43 169 -175 0
-44 -170 175 0
-44 170 -175 0
-45 -171 175 0
-45 171 -175 0
-113 1 168 0
-113 -1 -168 0
-118 -1 168 0
-118 1 -168 0
-46 176 -169 0
-46 177 -169 0
-46 -176 -177 169 0
-47 -176 169 0
-47 -177 169 0
-47 176 177 -169 0
-48 -176 -177 -169 0
-48 -176 177 169 0
-48 176 -177 169 0
-48 176 177 -169 0
-49 176 169 0
-49 177 169 0
-49 -176 -177 -169 0
-50 -176 -169 0
-50 -177 -169 0
-50 176 177 169 0
-51 -176 -177 169 0
-51 -176 177 -169 0
-51 176 -177 -169 0
-51 176 177 169 0
-52 -1 176 0
-52 1 -176 0
-53 -1 176 0
-53 1 -176 0
-54 1 176 0
-54 -1 -176 0
-55 -167 176 0
-55 167 -176 0
-56 -168 176 0
-56 168 -176 0
-57 -169 176 0
-57 169 -176 0
-58 -170 176 0
-58 170 -176 0
-59 -171 176 0
-59 171 -176 0
-60 -1 177 0
-60 1 -177 0
-61 -1 177 0
-61 1 -177 0
-62 1 177 0
-62 -1 -177 0
-63 -167 177 0
-63 167 -177 0
-64 -168 177 0
-64 168 -177 0
-65 -169 177 0
-65 169 -177 0
-66 -170 177 0
-66 170 -177 0
-67 -171 177 0
-67 171 -177 0
-114 1 169 0
-114 -1 -169 0
-119 -1 169 0
-119 1 -169 0
-68 178 -170 0
-68 179 -170 0
-68 -178 -179 170 0
-69 -178 170 0
